,vocab,meaning
2000,acclamation,"n.欢呼,称赞,喝彩 "
2001,unassuming,"a.谦逊的,不装腔作势的 "
2002,inarticulate,"a.口齿不清的,说不出的,不善于表达的 "
2003,heterogeneity,"n.异种,异质,不同成分 "
2004,superficial,"n.表面,外表a.表面的,肤浅的,面积的 "
2005,cunning,"a.狡猾的,巧妙的,可爱的 "
2006,endemic,"n.地方病,风土病a.风土的,地方的 "
2007,futile,"a.无用的,琐细的,无效果的 "
2008,cooperative,"a.合作的,协力的 "
2009,unmediated,a.无调停的;无中介的;无媒介的 
2010,vet,"n.兽医vi.当兽医vt.诊断,检审 "
2011,irrefutable,"a.不能反驳的,不能驳倒的 "
2012,incredulous,"a.怀疑的,不轻信的 "
2013,recollect,"vt.回忆,回想,忆起vi.回忆 "
2014,resistant,"n.抵抗者,反抗者a.抵抗的,反抗的 "
2015,sprightly,"a.活泼的,愉快的ad.活泼地,愉快地 "
2016,temerity,"n.鲁莽,蛮勇 "
2017,boomerang,"n.回飞棒,飞去来器 "
2018,cowardly,"a.懦弱的,卑怯的,胆小的 "
2019,recommence,v.(使)重新开始 
2020,circumlocution,n.婉转曲折的说法 
2021,establish,"vt.建立,确立,制定vi.移植生长 "
2022,unchanging,a.不变的;恒常的 
2023,magnitude,"n.巨大,重大,重要,光度,数量,大小 "
2024,certitude,"n.确实,确信 "
2025,egoism,"n.自我主义,利己主义 "
2026,ingenuous,"a.坦白的,正直的,天真的 "
2027,exaggerate,"v.夸大,夸张 "
2028,solicitude,n.热心;关怀 
2029,sanctimonious,"a.假装神圣的,假装虔诚的,假装诚实的 "
2030,flippant,"a.轻率的,没礼貌的,嘴碎的 "
2031,impasse,"n.难局,僵局,,死胡同,死路 "
2032,suppress,"vt.镇压,使止住,查禁,抑制,禁止 "
2033,blend,vt.混合n.混合 
2034,inaccurate,"a.错误的,不准确的 "
2035,dowager,"n.⑴寡妇,孀居贵妇⑵雍容华贵的老妇人 "
2036,resonance,"n.共鸣,回声,共振,谐振,反响 "
2037,predictive,"a.预言性的,成为前兆的 "
2038,gaiety,"n.愉快,快活,高兴 "
2039,scuttle,"n.煤桶,急速逃走,天窗vi.急速逃走vt.凿沉,毁坏 "
2040,inevitably,ad.不可避免 
2041,heinous,"a.可憎的,极恶的 "
2042,profitable,"a.有利润的,有利益的,赚钱的 "
2043,erratic,"n.古怪的人,漂泊无定的人a.不稳定的,奇怪的 "
2044,mandate,"n.命令,指令,要求vt.委任统治 "
2045,laconic,"a.简洁的,简明的 "
2046,precise,"a.精确的,明确的,严格的 "
2047,pernicious,"a.有害的,恶性的,致命的,险恶的 "
2048,partisanship,"n.党派性,党派心,盲目地一边倒 "
2049,overabundance,n.过多 
2050,resuscitation,"n.复生,复兴 "
2051,simplification,"n.单一化,单纯化,简单化 "
2052,conclusive,"a.决定性的,确实的,最后的 "
2053,ensemble,"n.全体,合唱曲,女人的全套服装 "
2054,painstaking,"n.辛苦,苦心,工夫a.辛苦的,勤勉的,小心的 "
2055,discord,"n.不调和,不和vi.不一致,倾轧 "
2056,inordinate,"a.过度的,紊乱的,无法无天的,过分的 "
2057,gracious,"a.亲切的,高尚的 "
2058,unaffected,"a.不造作的,自然的,未被感动的,未受影响的 "
2059,garner,"n.谷仓,积蓄vt.储存,贮藏 "
2060,versatility,"n.多种变化,多才多艺,变通 "
2061,attribution,n.归因 
2062,autocratic,"a.独裁的,专制的 "
2063,avid,"a.热望的,急切的,贪婪的 "
2064,oblivious,"a.易忘的,遗忘的,忘却的,健忘的 "
2065,insurgent,"a.谋叛的,发生暴动的,澎湃的n.暴徒,叛徒 "
2066,soar,"n.高扬,翱翔vi.往上飞舞,高耸,翱翔 "
2067,benevolent,a.慈善的 
2068,soothe,"vt.缓和,使安静,安慰,奉承vi.起安慰作用 "
2069,perceptive,"a.知觉的,有知觉力的,感知的 "
2070,descriptive,"a.描述的,叙述的 "
